state_name,region
Alabama,Southeast
Alaska,Far West
Arizona,Southwest
Arkansas,Southeast
California,Far West
Colorado,Rocky Mtns
Connecticut,New England
Delaware,Mid Atlantic
Florida,Southeast
Georgia,Southeast
Hawaii,Far West
Idaho,Rocky Mtns
Illinois,Great Lakes
Indiana,Great Lakes
Iowa,Plains
Kansas,Plains
Kentucky,Southeast
Louisiana,Southeast
Maine,New England
Maryland,Mid Atlantic
Massachusetts,New England
Michigan,Great Lakes
Minnesota,Plains
Mississippi,Southeast
Missouri,Plains
Montana,Rocky Mtns
Nebraska,Plains
Nevada,Far West
New Hampshire,New England
New Jersey,Mid Atlantic
New Mexico,Southwest
New York,Mid Atlantic
North Carolina,Southeast
North Dakota,Plains
Ohio,Great Lakes
Oklahoma,Southwest
Oregon,Far West
Pennsylvania,Mid Atlantic
Rhode Island,New England
South Carolina,Southeast
South Dakota,Plains
Tennessee,Southeast
Texas,Southwest
Utah,Rocky Mtns
Vermont,New England
Virginia,Southeast
Washington,Far West
West Virginia,Southeast
Wisconsin,Great Lakes
Wyoming,Rocky Mtns
